Value,First Name,Last Name,Age,Team,Position,G,A,PPP,+/-,SOG,HITS
17.6,Miikka,Salomaki,25,Nashville Predators,R,8,9,0,2,69,147
17.55,Scott,Wilson,26,Buffalo Sabres,C,8,10,0,-2,96,120
17.49,Tyler,Ennis,29,Toronto Maple Leafs,C,9,14,2,-4,123,64
17.36,Nikolay,Goldobin,23,Vancouver Canucks,R,13,14,3,0,124,32
17.1,Connor,Brickley,26,Nashville Predators,L,7,11,1,0,86,121
17.06,Josh,Archibald,26,Arizona Coyotes,R,7,7,0,0,83,144
17.0,Reid,Boucher,25,Vancouver Canucks,C,11,11,4,-1,121,49
16.66,Curtis,Lazar,23,Calgary Flames,C,7,13,1,1,69,124
16.58,Ivan,Barbashev,23,St. Louis Blues,C,9,14,0,0,80,104
16.5,Barclay,Goodrow,25,San Jose Sharks,R,9,10,1,0,96,99
16.3,Magnus,Paajarvi,27,Ottawa Senators,L,9,7,0,-2,120,94
16.27,Derek,Dorsett,32,Vancouver Canucks,R,8,6,0,-1,97,123
16.17,Max,McCormick,26,Ottawa Senators,L,7,5,0,-4,91,137
16.11,Michael,Raffl,30,Philadelphia Flyers,L,9,11,0,0,92,101
16.08,Gabriel,Bourque,28,Colorado Avalanche,L,4,8,0,0,65,165
15.85,Jason,Dickinson,23,Dallas Stars,C,10,9,0,2,65,123
15.54,Pontus,Aberg,25,Anaheim Ducks,L,12,11,3,-1,102,52
15.51,Tom,Kuhnhackl,26,New York Islanders,R,7,9,0,1,64,139
15.48,Jordan,Weal,26,Philadelphia Flyers,C,12,15,3,1,112,28
15.12,Tomas,Nosek,26,Vegas Golden Knights,L,10,9,0,-8,113,76
15.09,Brendan,Gaunce,24,Vancouver Canucks,C,9,9,0,2,95,97
14.91,Brad,Richardson,33,Arizona Coyotes,C,10,12,0,0,101,73
14.91,Oscar,Lindberg,27,Vegas Golden Knights,C,9,9,0,-1,99,92
14.91,Melker,Karlsson,28,San Jose Sharks,C,9,10,0,-4,97,90
14.84,Daniel,Carr,27,Vegas Golden Knights,L,9,12,4,0,99,57
14.78,Alex,Chiasson,28,Edmonton Oilers,R,13,7,0,4,91,81
14.78,Remi,Elie,23,Buffalo Sabres,L,8,12,1,0,74,101
14.69,Johan,Larsson,26,Buffalo Sabres,C,8,11,0,-6,82,103
14.58,Matt,Nieto,26,Colorado Avalanche,L,11,13,0,-7,112,51
14.25,Nic,Dowd,28,Washington Capitals,C,7,9,0,-3,71,122
14.11,J.T.,Brown,28,Minnesota Wild,R,7,9,0,0,79,114
14.07,Nikita,Scherbak,23,Montreal Canadiens,R,11,8,3,0,106,53
14.05,Marian,Gaborik,36,Ottawa Senators,R,12,9,4,-4,117,28
13.68,Cody,McLeod,34,New York Rangers,L,3,0,0,-7,45,197
13.59,Marko,Dano,24,Colorado Avalanche,C,8,9,0,0,83,100
13.24,Valtteri,Filppula,34,New York Islanders,C,11,20,2,2,77,31
13.07,Nick,Bonino,30,Nashville Predators,C,9,17,2,6,104,30
12.93,Jimmy,Hayes,29,Pittsburgh Penguins,R,7,7,1,-1,83,102
12.62,David,Kampf,23,Chicago Blackhawks,C,9,14,1,0,90,55
12.46,Filip,Chlapik,21,Ottawa Senators,C,7,12,3,0,80,70
12.35,Kyle,Brodziak,34,Edmonton Oilers,C,9,9,0,-3,82,84
12.22,Jonny,Brodzinski,25,Los Angeles Kings,R,9,5,0,0,109,75
12.2,Mark,Letestu,33,Columbus Blue Jackets,C,8,11,4,-4,82,58
12.19,Ross,Johnston,24,New York Islanders,L,5,6,0,1,69,129
12.02,Joshua,Ho-Sang,22,New York Islanders,R,9,19,5,0,79,17
12.01,Lukas,Sedlak,25,Columbus Blue Jackets,C,7,7,0,1,78,104
11.55,Derek,Grant,28,Pittsburgh Penguins,C,6,10,1,-3,85,83
11.51,Oskar,Sundqvist,24,St. Louis Blues,C,8,10,0,3,70,89
11.34,Cory,Conacher,29,Tampa Bay Lightning,C,9,9,1,0,93,60
10.99,Brian,Gibbons,30,Anaheim Ducks,C,8,12,0,-3,96,55
10.92,Gabriel,Dumont,28,Tampa Bay Lightning,C,4,3,0,0,68,136
10.67,Peter,Holland,27,New York Rangers,C,8,10,1,-5,97,53
10.57,Josh,Jooris,28,Toronto Maple Leafs,R,7,8,0,0,81,85
10.46,Gemel,Smith,24,Dallas Stars,C,9,11,0,0,83,59
10.4,Marcus,Sorensen,26,San Jose Sharks,L,6,9,0,1,95,74
10.34,Andy,Andreoff,27,Tampa Bay Lightning,C,6,5,0,0,66,113
10.22,Tanner,Fritz,27,New York Islanders,C,4,8,0,0,61,117
10.19,Nate,Thompson,34,Los Angeles Kings,C,3,5,0,-5,54,140
10.11,Boo,Nieves,24,New York Rangers,C,5,13,3,1,62,73
9.83,Matt,Hendricks,37,Minnesota Wild,C,3,4,0,1,50,144
9.6,Marcus,Kruger,28,Chicago Blackhawks,C,8,8,0,2,65,84
9.58,Alan,Quine,25,Calgary Flames,C,7,7,0,-2,61,97
9.2,Pierre-Edouard,Bellemare,33,Vegas Golden Knights,L,8,7,0,0,89,64
8.98,Jordan,Nolan,29,St. Louis Blues,C,5,5,0,-3,52,119
8.9,Markus,Hannikainen,25,Columbus Blue Jackets,L,6,8,0,0,78,79
8.49,Jori,Lehtera,31,Philadelphia Flyers,C,7,10,0,-1,60,77
8.49,Michael,Amadio,22,Los Angeles Kings,C,8,10,2,-4,77,45
8.45,Derek,MacKenzie,37,Florida Panthers,C,3,5,0,0,56,123
8.37,Carter,Rowney,29,Anaheim Ducks,R,4,5,0,0,41,129
8.23,Tom,Pyatt,31,Ottawa Senators,L,6,9,0,-7,89,60
7.62,Luke,Witkowski,28,Detroit Red Wings,R,3,4,0,1,40,133
7.43,Nick,Baptiste,23,Nashville Predators,R,9,5,0,0,96,44
6.9,Byron,Froese,27,Montreal Canadiens,C,5,7,0,0,70,78
6.69,Micheal,Haley,32,Florida Panthers,C,3,5,0,0,39,122
5.68,Chandler,Stephenson,24,Washington Capitals,C,6,12,0,-3,67,45
5.38,Kevin,Roy,25,Anaheim Ducks,L,10,2,0,0,88,38
5.32,Jay,Beagle,33,Vancouver Canucks,C,5,8,0,-1,61,68
5.23,Zack,Mitchell,25,Los Angeles Kings,R,5,2,0,0,69,83
4.69,Chris,Thorburn,35,St. Louis Blues,R,3,0,0,0,31,130
4.5,Paul,Carey,30,Ottawa Senators,C,4,4,0,-3,62,81
3.94,Taylor,Leier,24,Philadelphia Flyers,L,7,8,0,0,75,32
3.67,Seth,Griffith,25,Winnipeg Jets,C,4,9,1,0,61,50
3.32,Matt,Cullen,42,Pittsburgh Penguins,C,6,6,0,-7,81,35
2.94,Greg,McKegg,26,Carolina Hurricanes,C,5,4,0,0,60,63
2.58,Jordan,Schroeder,28,Chicago Blackhawks,C,6,4,0,0,61,53
2.48,Danny,O'Regan,24,Buffalo Sabres,C,6,8,2,0,58,28
1.11,Dominic,Toninato,24,Colorado Avalanche,C,5,5,0,0,46,55
0.0,Frederick,Gaudreau,25,Nashville Predators,C,5,6,0,-2,49,39
