Value,First Name,Last Name,Age,Team,Position,GS,W,SV%,GAA,SO,G,A,PPP,+/-,SOG,HITS
55.87,Mika,Zibanejad,25,New York Rangers,C,"","","","","",27,29,18,-5,236,95
55.8,Aaron,Ekblad,22,Florida Panthers,D,"","","","","",13,24,10,-1,214,79
55.8,Roberto,Luongo,39,Florida Panthers,G,38,18,0.9265,2.3446,1,"","","","","",""
55.71,Kyle,Connor,22,Winnipeg Jets,L,"","","","","",29,31,13,3,216,20
55.66,Max,Pacioretty,30,Vegas Golden Knights,L,"","","","","",23,26,14,-4,251,128
55.12,Pierre-Luc,Dubois,20,Columbus Blue Jackets,C,"","","","","",20,34,15,0,183,114
54.96,Adam,Lowry,25,Winnipeg Jets,C,"","","","","",16,18,5,8,132,203
54.96,Jake,Guentzel,24,Pittsburgh Penguins,C,"","","","","",24,30,12,0,180,123
54.64,Timo,Meier,22,San Jose Sharks,R,"","","","","",22,20,6,6,215,101
54.53,Chris,Kreider,27,New York Rangers,L,"","","","","",23,24,14,-1,196,135
54.06,J.T.,Miller,25,Tampa Bay Lightning,C,"","","","","",20,36,16,0,152,117
53.92,Craig,Smith,29,Nashville Predators,R,"","","","","",24,23,11,4,214,66
53.86,Ryan,O'Reilly,27,St. Louis Blues,C,"","","","","",22,44,23,-5,218,35
53.82,Brock,Boeser,21,Vancouver Canucks,R,"","","","","",31,34,20,-7,247,34
53.69,Keith,Yandle,32,Florida Panthers,D,"","","","","",7,42,16,0,175,35
53.56,Nick,Bjugstad,26,Florida Panthers,C,"","","","","",19,26,10,5,199,89
53.26,Linus,Ullmark,25,Buffalo Sabres,G,29,14,0.9265,2.3782,2,"","","","","",""
53.07,Ondrej,Palat,27,Tampa Bay Lightning,L,"","","","","",16,33,14,3,157,114
52.93,James,van Riemsdyk,29,Philadelphia Flyers,L,"","","","","",26,26,16,1,214,40
52.59,Eric,Staal,34,Minnesota Wild,C,"","","","","",29,33,14,-3,224,44
52.29,Mikael,Backlund,29,Calgary Flames,C,"","","","","",18,30,11,6,192,55
52.08,David,Backes,34,Boston Bruins,R,"","","","","",17,20,8,2,178,178
52.01,Will,Butcher,23,New Jersey Devils,D,"","","","","",5,42,18,6,114,29
51.86,Tyler,Johnson,28,Tampa Bay Lightning,C,"","","","","",22,29,13,4,187,47
51.38,Erik,Johnson,30,Colorado Avalanche,D,"","","","","",7,22,4,4,197,136
51.3,Jared,Spurgeon,29,Minnesota Wild,D,"","","","","",10,28,12,2,148,79
51.07,David,Perron,30,St. Louis Blues,L,"","","","","",18,37,20,-3,150,112
51.0,Dustin,Brown,34,Los Angeles Kings,R,"","","","","",18,24,10,0,179,158
50.52,Wayne,Simmonds,30,Philadelphia Flyers,R,"","","","","",26,24,17,-7,195,135
50.44,Yanni,Gourde,27,Tampa Bay Lightning,C,"","","","","",22,36,13,3,151,50
50.23,Milan,Lucic,30,Edmonton Oilers,L,"","","","","",14,24,10,-1,130,231
50.09,Zach,Parise,34,Minnesota Wild,L,"","","","","",23,24,9,3,219,51
49.92,Elias,Lindholm,24,Calgary Flames,C,"","","","","",21,34,15,-2,169,94
49.9,Tyler,Toffoli,26,Los Angeles Kings,R,"","","","","",25,28,12,-3,231,68
49.86,Tomas,Hertl,25,San Jose Sharks,C,"","","","","",22,30,11,0,191,82
49.73,Boone,Jenner,25,Columbus Blue Jackets,C,"","","","","",18,18,6,-2,206,194
49.48,Anders,Lee,28,New York Islanders,L,"","","","","",28,25,17,-8,212,106
49.45,Jonathan,Drouin,23,Montreal Canadiens,C,"","","","","",18,35,21,-2,178,61
49.4,Noah,Hanifin,21,Calgary Flames,D,"","","","","",9,29,10,0,168,86
49.26,Mathieu,Perreault,30,Winnipeg Jets,C,"","","","","",16,28,13,2,153,118
49.15,Cam,Atkinson,29,Columbus Blue Jackets,R,"","","","","",30,26,16,-7,261,37
48.76,Jakob,Silfverberg,28,Anaheim Ducks,R,"","","","","",21,26,10,4,185,54
48.6,David,Krejci,32,Boston Bruins,C,"","","","","",18,35,14,5,143,37
48.29,Josh,Morrissey,23,Winnipeg Jets,D,"","","","","",7,24,6,7,121,130
48.25,Kyle,Turris,29,Nashville Predators,C,"","","","","",18,33,17,3,162,32
48.21,Nico,Hischier,19,New Jersey Devils,C,"","","","","",20,35,13,-1,200,52
48.16,Nick,Foligno,31,Columbus Blue Jackets,L,"","","","","",17,23,9,0,153,169
48.04,Ryan,Pulock,24,New York Islanders,D,"","","","","",9,23,10,-6,211,123
47.8,Jake,DeBrusk,22,Boston Bruins,L,"","","","","",19,29,10,2,179,76
47.77,Cory,Schneider,32,New Jersey Devils,G,40,19,0,2,2,"","","","","",""
47.69,Dylan,Larkin,22,Detroit Red Wings,C,"","","","","",23,35,14,-7,230,71
47.57,Justin,Williams,37,Carolina Hurricanes,R,"","","","","",16,29,9,5,171,68
47.5,Oscar,Klefbom,25,Edmonton Oilers,D,"","","","","",9,24,9,-2,223,64
47.12,Alexander,Wennberg,24,Columbus Blue Jackets,C,"","","","","",11,37,12,10,110,37
47.11,Derick,Brassard,31,Pittsburgh Penguins,C,"","","","","",21,24,10,-1,191,103
47.03,Mikko,Koivu,35,Minnesota Wild,C,"","","","","",14,30,12,8,139,44
46.95,Jordan,Eberle,28,New York Islanders,C,"","","","","",21,33,14,-1,191,43
46.77,Kevin,Labanc,23,San Jose Sharks,R,"","","","","",15,31,12,5,164,47
46.74,Tomas,Tatar,28,Montreal Canadiens,L,"","","","","",22,23,11,2,172,70
46.19,James,Neal,31,Calgary Flames,L,"","","","","",24,21,10,-1,217,64
