Value,First Name,Last Name,Age,Team,Position,G,A,PPP,+/-,SOG,HITS
31.33,Joel,Eriksson Ek,21,Minnesota Wild,C,10,15,2,1,128,130
31.2,Christian,Dvorak,22,Arizona Coyotes,C,15,21,7,-3,140,84
31.14,Tyler,Bozak,32,St. Louis Blues,C,13,28,11,-3,138,47
30.89,Calle,Jarnkrok,27,Nashville Predators,C,16,17,5,2,130,48
30.73,Jared,McCann,22,Florida Panthers,C,14,21,5,-2,163,65
30.01,Nolan,Patrick,20,Philadelphia Flyers,C,16,21,7,-3,148,59
29.47,Ryan,Strome,25,Edmonton Oilers,C,13,22,7,-2,146,58
29.39,Adrian,Kempe,22,Los Angeles Kings,C,14,21,6,-4,140,91
28.93,Casey,Cizikas,27,New York Islanders,C,11,15,0,0,100,149
28.49,Trevor,Lewis,31,Los Angeles Kings,C,14,11,2,-5,155,144
28.32,Alexander,Kerfoot,24,Colorado Avalanche,C,12,28,11,-3,117,44
28.32,Tim,Schaller,28,Vancouver Canucks,C,10,14,0,1,118,125
28.09,Sam,Gagner,29,Vancouver Canucks,C,13,19,8,-2,145,51
28.02,Nick,Cousins,25,Arizona Coyotes,C,13,14,2,-3,139,123
28.02,Jack,Roslovic,21,Winnipeg Jets,C,11,20,5,2,115,53
27.96,Artem,Anisimov,30,Chicago Blackhawks,C,18,19,8,-2,136,26
27.17,Devin,Shore,24,Dallas Stars,C,13,22,7,-3,122,69
27.07,Derek,Ryan,32,Calgary Flames,C,13,20,6,0,114,51
26.88,Colton,Sceviour,29,Florida Panthers,C,13,13,1,-1,142,94
26.84,Carl,Soderberg,33,Colorado Avalanche,C,14,19,7,-4,141,67
26.79,Andreas,Athanasiou,24,Detroit Red Wings,C,20,19,7,-8,190,36
26.74,Martin,Hanzal,31,Dallas Stars,C,10,14,5,-3,126,123
26.51,Zemgus,Girgensons,24,Buffalo Sabres,C,10,15,1,-3,121,145
26.46,Tyson,Jost,20,Colorado Avalanche,C,16,16,8,-4,147,51
26.44,Jason,Spezza,35,Dallas Stars,C,14,25,13,-5,135,22
26.27,Zac,Rinaldo,28,Nashville Predators,C,5,1,0,-2,77,260
26.26,Dominik,Simon,24,Pittsburgh Penguins,C,10,19,3,0,101,95
26.12,Mark,Jankowski,24,Calgary Flames,C,15,15,3,0,136,47
25.78,Brock,Nelson,27,New York Islanders,C,18,18,6,-6,155,54
25.74,Markus,Granlund,25,Vancouver Canucks,C,14,11,2,0,136,71
25.64,Cedric,Paquette,25,Tampa Bay Lightning,C,10,9,0,-1,94,164
25.44,Tyler,Motte,23,Vancouver Canucks,C,10,8,0,-1,110,152
