First Name,Last Name,Age,Team,Position,G,A,PPP,+/-,SOG,HITS
Mike,Green,33,player[12],D,8,26,11,-5,149,93
Blake,Comeau,32,player[12],L,11,19,3,-3,118,142
Alex,Goligoski,33,player[12],D,7,25,7,-10,124,114
Andrej,Sekera,32,player[12],D,3,18,5,-1,97,66
Alexander,Edler,32,player[12],D,6,23,9,-8,179,161
Ryan,Callahan,33,player[12],R,8,14,2,-2,114,161
Roman,Polak,32,player[12],D,0,11,0,2,74,202
Troy,Brouwer,33,player[12],R,9,15,4,1,83,138
Matt,Hunwick,33,player[12],D,2,11,0,-3,95,109
Cody,McLeod,34,player[12],L,4,0,0,-4,41,210
Bobby,Ryan,31,player[12],R,14,22,8,-2,146,117
Jack,Johnson,31,player[12],D,4,11,0,1,96,110
Marc,Staal,31,player[12],D,2,7,0,-5,72,93
T.J.,Oshie,32,player[12],R,19,26,14,6,149,121
Andrew,Cogliano,31,player[12],L,15,21,3,2,154,86
Matt,Niskanen,32,player[12],D,6,25,6,1,143,134
James,Neal,31,player[12],L,26,23,12,-3,224,60
Marc-Edouard,Vlasic,31,player[12],D,9,24,6,3,155,37
Justin,Abdelkader,31,player[12],L,12,21,8,-6,123,174
Adam,McQuaid,32,player[12],D,2,8,0,2,70,166
Kris,Letang,31,player[12],D,10,48,21,4,223,105
Kris,Russell,31,player[12],D,3,15,2,0,92,98
Keith,Yandle,32,player[12],D,7,39,17,-2,170,33
Tom,Pyatt,31,player[12],L,8,12,0,-1,91,63
Niklas,Hjalmarsson,31,player[12],D,3,14,0,2,63,41
Darren,Helm,31,player[12],L,13,15,2,-2,146,132
Ryan,Reaves,31,player[12],R,3,4,0,1,43,229
Anton,Stralman,32,player[12],D,6,17,3,2,127,107
Patric,Hornqvist,31,player[12],R,28,27,19,4,258,151
Dan,Girardi,34,player[12],D,2,11,0,5,87,141
Andy,Greene,36,player[12],D,2,6,0,-5,75,89
Alex,Biega,30,player[12],D,1,12,0,0,122,214
Brad,Marchand,30,player[12],L,35,47,27,6,236,39
Nick,Foligno,31,player[12],L,16,23,9,1,153,178
Derek,Dorsett,32,player[12],R,10,8,1,-2,119,151
Erik,Johnson,30,player[12],D,8,20,5,-3,201,141
Kyle,Okposo,30,player[12],R,18,32,18,-11,173,71
Jamie,McGinn,30,player[12],L,13,14,5,-5,126,127
Eric,Gryba,30,player[12],D,1,8,0,3,76,213
Milan,Lucic,30,player[12],L,15,25,10,4,136,219
Cal,Clutterbuck,31,player[12],R,8,7,0,-6,98,230
Jeff,Petry,31,player[12],D,10,26,13,-4,171,154
Michael,Grabner,31,player[12],R,20,12,1,0,158,68
Phil,Kessel,31,player[12],R,28,48,31,-2,250,10
Michael,Frolik,30,player[12],R,17,22,5,4,177,60
Andrew,MacDonald,32,player[12],D,3,16,0,-1,94,54
David,Schlemko,31,player[12],D,3,12,3,-1,99,75
Ben,Lovejoy,34,player[12],D,2,6,0,4,90,124
Alex,Killorn,29,player[12],L,17,26,11,6,155,82
Karl,Alzner,30,player[12],D,3,12,0,0,80,135
Jamie,Benn,29,player[12],L,31,46,25,-1,236,115
Steven,Kampfer,30,player[12],D,0,5,0,-3,98,159
Ian,Cole,29,player[12],D,5,17,3,6,103,122
Justin,Braun,31,player[12],D,5,19,1,0,113,134
Kevin,Shattenkirk,29,player[12],D,10,31,17,-6,173,77
Pat,Maroon,30,player[12],L,18,21,8,3,151,154
James,van Riemsdyk,29,player[12],L,30,29,18,0,240,46
Paul,Byron,29,player[12],L,16,17,3,0,113,128
P.K.,Subban,29,player[12],D,12,44,22,1,205,100
Thomas,Hickey,29,player[12],D,4,18,2,0,104,93
Brendan,Smith,29,player[12],D,3,11,1,1,112,110
David,Perron,30,player[12],L,16,38,18,-2,155,121
Carl,Gunnarsson,32,player[12],D,2,5,0,4,71,63
Yannick,Weber,30,player[12],D,1,7,0,-2,80,90
Patrick,Kane,30,player[12],R,29,51,27,-2,269,14
Robert,Bortuzzo,29,player[12],D,3,9,0,3,93,142
Evgenii,Dadonov,29,player[12],R,26,40,15,4,209,27
