First Name,Last Name,Age,Position,PosVal,ID,G,A,PPP,+/-,SOG,HITS
Jamie,Benn,29,L,1,8473994,31,46,25,-1,236,115
Steven,Kampfer,30,D,0,8474000,0,5,0,-3,98,159
Paul,Carey,30,C,1,8474008,6,6,0,-4,74,96
Nick,Bonino,30,C,1,8474009,12,17,3,-1,110,35
Ian,Cole,29,D,0,8474013,5,17,3,6,103,122
Justin,Braun,31,D,0,8474027,5,19,1,0,113,134
Kevin,Shattenkirk,29,D,0,8474031,10,31,17,-6,173,77
Pat,Maroon,30,L,1,8474034,18,21,8,3,151,154
James,van Riemsdyk,29,L,1,8474037,30,29,18,0,240,46
Paul,Byron,29,L,1,8474038,16,17,3,0,113,128
Sam,Gagner,29,C,1,8474040,15,22,9,-3,161,57
Logan,Couture,29,C,1,8474053,28,32,18,3,211,38
P.K.,Subban,29,D,0,8474056,12,44,22,1,205,100
Riley,Nash,29,C,1,8474062,13,22,6,4,123,89
Thomas,Hickey,29,D,0,8474066,4,18,2,0,104,93
Kyle,Turris,29,C,1,8474068,19,32,17,2,164,30
Brendan,Smith,29,D,0,8474090,3,11,1,1,112,110
Brandon,Sutter,29,C,1,8474091,14,16,3,-4,144,75
Colton,Sceviour,29,C,1,8474098,13,15,2,-2,144,94
David,Perron,30,L,1,8474102,16,38,18,-2,155,121
Carl,Gunnarsson,32,D,0,8474125,2,5,0,4,71,63
Yannick,Weber,30,D,0,8474134,1,7,0,-2,80,90
Patrick,Kane,30,R,1,8474141,29,51,27,-2,269,14
Robert,Bortuzzo,29,D,0,8474145,3,9,0,3,93,142
Evgenii,Dadonov,29,R,1,8474149,26,40,15,4,209,27
Mikael,Backlund,29,C,1,8474150,19,31,13,2,188,56
Ryan,McDonagh,29,D,0,8474151,6,27,10,4,137,90
Max,Pacioretty,30,L,1,8474157,25,29,16,-1,253,121
Jakub,Voracek,29,R,1,8474161,20,53,29,-3,227,25
Jake,Muzzin,29,D,0,8474162,10,31,14,0,178,170
Alec,Martinez,31,D,0,8474166,8,20,8,-5,125,112
Carl,Hagelin,30,L,1,8474176,14,22,4,6,156,105
Lars,Eller,29,C,1,8474189,17,18,5,-4,149,79
Wayne,Simmonds,30,R,1,8474190,23,26,16,-6,196,132
Nick,Holden,31,D,0,8474207,4,14,1,-1,90,152
Jason,Demers,30,D,0,8474218,6,18,4,0,114,87
Micheal,Haley,32,C,1,8474230,4,6,0,-1,46,141
Zack,Smith,30,L,1,8474250,13,13,2,-2,128,116
Jay,Beagle,33,C,1,8474291,7,9,0,-3,71,75
Drew,Doughty,29,D,0,8474563,13,42,20,4,199,115
Steven,Stamkos,28,C,1,8474564,27,48,28,0,229,60
Alex,Pietrangelo,28,D,0,8474565,14,38,15,3,218,51
Luke,Schenn,29,D,0,8474568,1,9,0,-6,81,257
Colin,Wilson,29,C,1,8474569,11,18,6,0,113,63
Mikkel,Boedker,29,L,1,8474571,15,23,9,-6,137,53
Josh,Bailey,29,R,1,8474573,17,40,21,-8,160,23
Tyler,Myers,28,D,0,8474574,7,27,10,1,152,71
Erik,Karlsson,28,D,0,8474578,13,56,25,-3,231,59
Luca,Sbisa,28,D,0,8474579,1,13,2,-1,87,133
Jake,Gardiner,28,D,0,8474581,8,36,14,-1,139,59
Michael,Del Zotto,28,D,0,8474584,5,17,3,-5,136,223
Jordan,Eberle,28,C,1,8474586,24,34,15,2,193,44
Tyler,Ennis,29,C,1,8474589,10,16,3,-3,127,68
John,Carlson,28,D,0,8474590,12,45,23,-1,226,49
Roman,Josi,28,D,0,8474600,15,44,22,2,253,75
Justin,Schultz,28,D,0,8474602,7,27,12,2,143,54
Travis,Hamonic,28,D,0,8474612,5,15,1,-2,124,103
Derek,Stepan,28,C,1,8474613,19,37,17,-5,200,48
Marco,Scandella,28,D,0,8474618,6,16,3,-4,133,90
Jimmy,Hayes,29,R,1,8474625,9,9,2,-2,99,122
Jori,Lehtera,31,C,1,8474627,8,12,0,0,59,75
Michael,Stone,28,D,0,8474628,3,17,3,0,112,114
Adam,Henrique,28,C,1,8474641,20,24,11,-1,157,64
Dale,Weise,30,R,1,8474668,9,7,0,-2,93,137
TJ,Brodie,28,D,0,8474673,7,33,11,-2,122,34
Gustav,Nyquist,29,R,1,8474679,20,26,10,-1,187,64
Derek,Grant,28,C,1,8474683,8,12,2,-3,95,83
Matt,Calvert,29,L,1,8474685,12,13,2,-1,120,80
Greg,Pateryn,28,D,0,8474688,3,15,1,2,104,167
Mark,Borowiecki,29,D,0,8474697,0,7,0,0,88,328
Matt,Martin,29,L,1,8474709,6,7,0,1,72,240
Cam,Atkinson,29,R,1,8474715,29,27,15,1,255,40
Jared,Spurgeon,29,D,0,8474716,10,28,13,6,154,79
Mark,Barberio,28,D,0,8474717,4,17,3,-1,104,54
Luke,Witkowski,28,R,1,8474722,4,6,0,0,46,154
Zac,Rinaldo,28,C,1,8474736,5,2,0,-4,79,261
Jordie,Benn,31,D,0,8474818,4,13,0,4,98,99
Antoine,Roussel,29,L,1,8474849,11,15,2,3,93,113
Tyler,Johnson,28,C,1,8474870,21,30,14,-2,182,51
Mike,Hoffman,29,L,1,8474884,24,33,19,-5,239,32
Tyler,Bozak,32,C,1,8475098,14,30,12,1,139,47
Jordan,Schroeder,28,C,1,8475147,8,6,0,1,75,65
Marcus,Johansson,28,L,1,8475149,16,23,11,1,129,30
