Rank,First Name,Last Name,Team,Position,FHG Value,Games Played,G,A,+/-,SOG,PPP,HITS
72,Mikko,Koivu,MIN,C,-34,81,15,34,10,150,17,41
73,Ryan,Spooner,NYR,C/RW,-36,73,13,36,-10,139,12,48
74,Jean-gabriel,Pageau,OTT,C,-37,80,16,24,-10,148,10,152
75,David,Krejci,BOS,C,-37,73,18,31,10,140,17,38
76,Blake,Coleman,NJD,C/LW,-39,80,13,15,0,136,0,210
77,Andreas,Athanasiou,DET,C/LW,-39,74,19,29,-10,148,12,30
78,Kevin,Hayes,NYR,C,-40,77,23,31,-10,149,14,46
79,Brock,Nelson,NYI,C/LW,-40,81,19,22,0,158,10,53
80,Sam,Gagner,VAN,C/LW,-41,76,13,25,-10,156,13,50
81,Joe,Thornton,SJS,C,-43,77,11,39,0,103,18,47
82,Kyle,Turris,NSH,C,-43,75,17,30,20,160,12,31
83,Casey,Mittelstadt,BUF,C,-47,78,18,36,0,117,14,31
84,Paul,Stastny,VGK,C,-48,72,17,33,0,127,13,43
85,Ryan,Strome,EDM,C/RW,-48,76,14,26,0,134,10,44
86,Vincent,Hinostroza,CHI,C,-49,74,19,28,0,117,16,41
87,Vladislav,Namestnikov,NYR,C/LW,-50,78,12,25,-10,124,9,76
88,Joel,Eriksson Ek,MIN,C/LW,-51,79,14,22,0,122,0,137
89,Andrew,Shaw,MTL,C/RW,-51,66,12,17,-10,125,7,125
90,Ryan,Hartman,NSH,C/RW,-52,76,13,22,0,147,0,116
91,Radek,Faksa,DAL,C,-53,78,15,21,20,121,9,95
92,Christian,Dvorak,ARI,C,-54,78,19,25,-10,119,11,82
93,Bryan,Little,WPG,C,-54,70,18,26,10,133,11,43
94,Colton,Sissons,NSH,C/LW,-54,76,11,19,0,82,8,121
95,Lars,Eller,WSH,C,-55,81,18,22,0,142,10,71
96,Tyson,Jost,COL,C/LW,-55,70,15,19,0,120,12,36
97,Nolan,Patrick,PHI,C,-56,73,19,25,0,126,11,53
98,Victor,Rask,CAR,C,-56,77,15,26,0,156,10,45
99,Patrik,Berglund,BUF,C,-57,72,17,16,-10,137,8,125
100,Alexander,Wennberg,CBJ,C,-57,72,11,36,10,94,12,40
101,J.T.,Compher,COL,C/RW,-57,73,17,20,-10,131,9,45
102,Adam,Lowry,WPG,C,-59,71,14,20,10,94,0,186
103,Drake,Batherson,OTT,C,-60,58,15,19,0,125,10.2,89
104,Phillip,Danault,MTL,C,-60,72,11,28,0,117,10,71
105,Chris,Wagner,BOS,C/RW,-60,76,6,11,0,87,0,212
106,Ryan,Kesler,ANA,C,-62,64,17,13,0,134,8,108
