Rank,First Name,Last Name,Team,Position,FHG Value,Games Played,G,A,+/-,SOG,PPP,HITS
122,Jordan,Greenway,MIN,LW,-71,74,12,17,0,49,7,93
123,Patrick,Eaves,ANA,LW/RW,-73,54,18,15,0,119,0,59
124,Alex,Iafallo,LAK,LW,-73,76,12,19,0,132,0,54
125,Zack,Smith,OTT,C/LW,-73,74,11,15,-10,122,0,98
126,Andreas,Johnsson,TOR,LW,-73,69,15,13,10,146,0,42
127,Zemgus,Girgensons,BUF,LW,-75,72,7,12,-10,116,0,125
128,Tim,Schaller,VAN,LW,-76,73,12,9,0,110,0,106
129,Magnus,Paajarvi,OTT,LW,-76,77,10,11,-10,128,0,102
130,Antoine,Roussel,VAN,LW,-77,72,11,14,0,94,0,100
131,Brett,Connolly,WSH,LW,-77,70,15,14,0,83,0,92
132,Martin,Frk,DET,LW/RW,-77,72,13,17,-10,104,0,79
133,Jujhar,Khaira,EDM,C/LW,-78,72,9,11,0,75,0,135
134,Jordan,Martinook,CAR,LW,-78,78,8,13,0,108,0,98
135,Troy,Brouwer,FLA,LW/RW,-78,71,8,14,0,94,0,105
136,Matt,Calvert,COL,LW/RW,-78,69,14,14,0,105,0,70
137,Sonny,Milano,CBJ,LW,-79,63,14,15,0,74,7,35
138,Nikolay,Goldobin,VAN,LW/RW,-80,69,12,19,-10,80,8,22
139,Kyle,Clifford,LAK,LW,-81,62,6,8,0,93,0,132
140,Loui,Eriksson,VAN,LW/RW,-82,57,10,15,0,121,6,7
141,Remi,Elie,DAL,LW,-82,74,7,16,0,70,0,107
142,Brendan,Leipsic,VAN,LW/RW,-82,62,7,23,0,105,0,42
143,Jordan,Weal,PHI,LW,-85,72,12,24,-10,105,0,19
144,Michael,Raffl,PHI,LW/RW,-86,70,11,9,0,97,0,82
145,Colin,Wilson,COL,LW/RW,-86,64,9,17,0,100,0,50
146,Ivan,Barbashev,STL,C/LW,-86,71,7,19,0,55,0,89
147,Joakim,Nordstrom,BOS,LW,-86,75,4,8,0,93,0,116
148,Melker,Karlsson,SJS,LW,-87,71,11,11,0,86,0,78
