Rank,First Name,Last Name,Team,Position,FHG Value,Games Played,G,A,+/-,SOG,PPP,HITS
183,Brian,Gibbons,ANA,LW/RW,-113,46,6,8,0,56,0,27
184,Barclay,Goodrow,SJS,C/RW,-113,38,5,8,0,39,0,47
185,Marko,Dano,WPG,LW/RW,-113,35,4,4,0,44,0,63
186,Nicholas,Baptiste,BUF,RW,-114,45,4,8,0,59,0,31
187,Markus,Hannikainen,CBJ,RW,-118,40,4,5,0,36,0,46
188,Zac,Rinaldo,NSH,LW/RW,-119,25,1,2,0,21,0,82
189,Kevin,Roy,ANA,LW/RW,-122,35,6,6,0,36,0,15
190,Kailer,Yamamoto,EDM,RW,-124,15,1,4,10,38,1,15
191,Josh,Jooris,TOR,C/RW,-125,28,3,3,0,38,0,30
192,Troy,Terry,ANA,RW,-127,25,3,5,0,38,0,13
193,Josh,Leivo,TOR,LW/RW,-128,19,3,6,0,34,0,6
194,Cory,Conacher,TBL,RW,-128,23,5,3,0,30,0,16
195,Mathieu,Joseph,TBL,RW,-128,24,2,5,0,17,0,31
196,Paul,Carey,OTT,LW/RW,-128,25,2,4,0,23,0,28
197,A.J.,Greer,COL,LW/RW,-129,20,2,4,0,17,0,31
198,Jimmy,Hayes,PIT,RW,-131,17,1,3,0,24,0,26
199,Evgeny,Svechnikov,DET,RW,-131,19,2,5,0,23,0,13
200,Nicolas,Aube-Kubel,PHI,RW,-132,16,2,4,0,17,0,20
201,Jordan,Schroeder,CHI,C/RW,-132,24,3,2,0,25,0,17
202,Nick,Merkley,ARI,RW,-132,17,2,5,0,17,0,13
203,Andreas,Martinsen,CHI,LW/RW,-136,10,1,0,0,11,0,29
204,Matt,Read,MIN,LW/RW,-137,12,1,1,0,17,0,15
205,Chris,Thorburn,STL,RW,-137,15,0,1,0,11,0,26
206,Henrik,Haapala,FLA,LW/RW,-139,10,0,3,0,6,0,10
207,Juuso,Ikonen,WSH,RW,-143,12,0,2,0,0,0,6
208,Alexander,Nylander,BUF,RW,-144,3,0,1,0,3,0,0
209,Shawn,Matthias,WPG,LW/RW,-146,0,0,0,0,0,0,0
210,Jussi,Jokinen,VAN,LW/RW,-146,0,0,0,0,0,0,0
211,Rick,Nash,BOS,LW/RW,-146,0,0,0,0,0,0,0
212,Jannik,Hansen,SJS,LW/RW,-146,0,0,0,0,0,0,0
213,Logan,Shaw,MTL,LW/RW,-146,0,0,0,0,0,0,0
214,Tomas,Jurco,CHI,LW/RW,-146,0,0,0,0,0,0,0
215,Michael,Cammalleri,EDM,LW/RW,-146,0,0,0,0,0,0,0
216,Shane,Prince,NYI,LW/RW,-146,0,0,0,0,0,0,0
217,Matt,Moulson,BUF,LW/RW,-146,0,0,0,0,0,0,0
218,Alex,Chiasson,WSH,RW,-146,0,0,0,0,0,0,0
219,Tommy,Wingels,BOS,C/RW,-146,0,0,0,0,0,0,0
220,Drew,Stafford,NJD,RW,-146,0,0,0,0,0,0,0
221,Torrey,Mitchell,LAK,C/RW,-146,0,0,0,0,0,0,0
222,Chris,Stewart,CGY,RW,-146,0,0,0,0,0,0,0
