Rank,First Name,Last Name,Team,Position,FHG Value,Games Played,G,A,+/-,SOG,PPP,HITS
115,Jake,DeBrusk,BOS,LW,-30,72,17,25,10,143,11,79
116,Oliver,Bjorkstrand,CBJ,RW,-31,81,13,32,0,164,11,58
117,Charles,Hudon,MTL,LW,-31,71,15,19,-10,167,9,131
118,Zach,Parise,MIN,LW,-31,64,19,18,0,209,13,37
119,Ryan,Dzingel,OTT,LW/RW,-33,78,20,26,-10,116,16,64
120,Christian,Fischer,ARI,RW,-34,78,17,22,-10,150,10,108
121,Mikkel,Boedker,OTT,LW/RW,-35,79,15,28,-10,137,15,55
122,Danton,Heinen,BOS,LW/RW,-35,77,17,32,0,128,12,46
123,Ryan,Donato,BOS,LW/RW,-35,71,24,22,0,148,12,43
124,Ryan,Spooner,NYR,C/RW,-36,73,13,36,-10,139,12,48
125,Justin,Abdelkader,DET,LW/RW,-36,74,13,18,0,123,8,159
126,Jesse,Puljujarvi,EDM,RW,-36,74,17,24,0,142,10,84
127,Zach,Hyman,TOR,LW,-37,82,14,27,20,155,0,117
128,Kevin,Labanc,SJS,LW/RW,-37,79,14,34,0,136,12,35
129,Kyle,Okposo,BUF,RW,-38,71,16,24,-10,167,10,68
130,Blake,Coleman,NJD,C/LW,-39,80,13,15,0,136,0,210
131,Alexander,Steen,STL,RW,-39,74,14,31,-10,154,11,46
132,Andreas,Athanasiou,DET,C/LW,-39,74,19,29,-10,148,12,30
133,Brock,Nelson,NYI,C/LW,-40,81,19,22,0,158,10,53
134,Artturi,Lehkonen,MTL,LW/RW,-40,70,20,19,-10,162,10,71
135,Bryan,Rust,PIT,LW/RW,-40,64,17,20,10,115,9,100
136,Leo,Komarov,NYI,LW/RW,-40,74,14,14,0,119,0,219
137,Sam,Gagner,VAN,C/LW,-41,76,13,25,-10,156,13,50
138,Michael,Ferland,CAR,RW,-44,74,17,15,0,123,0,183
139,Brendan,Perlini,ARI,LW/RW,-45,76,19,17,0,129,9,85
140,Tyler,Bertuzzi,DET,LW/RW,-46,71,11,26,0,110,9,92
141,Ondrej,Kase,ANA,RW,-47,68,18,23,10,126,10,40
142,Bobby,Ryan,OTT,LW/RW,-47,68,13,21,-10,135,9,93
143,Andre,Burakovsky,WSH,LW/RW,-47,67,15,27,0,108,11,53
144,Dylan,Sikura,CHI,RW,-47,75,17,25,0,135,11,30
145,Ryan,Strome,EDM,C/RW,-48,76,14,26,0,134,10,44
146,Devante,Smith-Pelly,WSH,RW,-48,76,11,13,0,108,6,168
